section,parameter,value
Data,Train images,10525
Data,Validation images,2507
Data,Test images,2285
Input,Image size,480 x 480 px
Optimization,Epochs,10
Optimization,Batch size,8
Optimization,Gradient accumulation,1
Optimization,Optimizer,AdamW
Optimization,Learning rate,0.0001
Optimization,Weight decay,0.0001
Optimization,LR scheduler,None
Optimization,Mixed precision,FP16 AMP
Optimization,Data augmentation,None
Loss,Seed loss,Weighted BCE
Loss,Seed positive weight,0.47532940846649846
Model,Backbone,ConvNeXt-Tiny + FPN
Model,Pretrained,ImageNet weights
Model,Detector,Faster R-CNN (background + True_Peak)
Model,Anchor sizes,"16, 32, 64, 128 px"
Model,Anchor aspect ratios (H/W),"1, 2, 4, 8, 16"
Model,RPN proposals train/test,128/64
Model,Box NMS threshold,0.6
Model,Seed RoI output,7 x 7
Model,Image/attribute embedding,256-D / 64-D
Model,Fusion dropout,0.2
Reproducibility,Random seed,20260725
Reproducibility,PyTorch / CUDA,2.9.1+cu128 / 12.8
Reproducibility,GPU,NVIDIA GeForce RTX 4070 SUPER
